s,match_i,ed,ed_dot,efai,efai_dot,project_curv,ego_x,ego_y
34.168,342,0.469071,-0.0394774,-0.0101767,-0.238326,0.0304215,12.2366,182.606
34.168,342,0.469071,-0.0394774,-0.0101767,-0.238326,0.0304215,12.2366,182.606
34.5634,346,0.480365,-0.0398515,-0.0101794,-0.240565,0.0304215,11.8805,182.447
34.5634,346,0.480365,-0.0398515,-0.0101794,-0.240565,0.0304215,11.8805,182.447
34.9629,350,0.49172,-0.0404155,-0.0102103,-0.243078,0.0304215,11.5225,182.283
34.9629,350,0.49172,-0.0404155,-0.0102103,-0.243078,0.0304215,11.5225,182.283
35.3649,354,0.503068,-0.0404621,-0.0102565,-0.242002,0.0304215,11.1646,182.114
35.3649,354,0.503068,-0.0404621,-0.0102565,-0.242002,0.0304215,11.1646,182.114
35.7619,358,0.514319,-0.04003,-0.0102848,-0.239235,0.0304215,10.8133,181.942
35.7619,358,0.514319,-0.04003,-0.0102848,-0.239235,0.0304215,10.8133,181.942
36.1574,362,0.525515,-0.0401303,-0.0102835,-0.240207,0.0304215,10.4655,181.767
36.1574,362,0.525515,-0.0401303,-0.0102835,-0.240207,0.0304215,10.4655,181.767
36.5558,366,0.536858,-0.0405037,-0.0102863,-0.242421,0.0304215,10.1176,181.586
36.5558,366,0.536858,-0.0405037,-0.0102863,-0.242421,0.0304215,10.1176,181.586
36.9582,370,0.548225,-0.0410647,-0.0103163,-0.244913,0.0304215,9.76828,181.4
36.9582,370,0.548225,-0.0410647,-0.0103163,-0.244913,0.0304215,9.76828,181.4
37.3631,374,0.559603,-0.0411092,-0.0103637,-0.243806,0.0304215,9.41933,181.208
37.3631,374,0.559603,-0.0411092,-0.0103637,-0.243806,0.0304215,9.41933,181.208
37.7629,378,0.570903,-0.0406707,-0.0103931,-0.24098,0.0304215,9.07727,181.014
37.7629,378,0.570903,-0.0406707,-0.0103931,-0.24098,0.0304215,9.07727,181.014
38.1612,382,0.582196,-0.0407742,-0.0103936,-0.241921,0.0304215,8.73901,180.817
38.1612,382,0.582196,-0.0407742,-0.0103936,-0.241921,0.0304215,8.73901,180.817
38.5623,386,0.593513,-0.0411431,-0.0103952,-0.244116,0.0304215,8.40095,180.615
38.5623,386,0.593513,-0.0411431,-0.0103952,-0.244116,0.0304215,8.40095,180.615
38.9674,390,0.604903,-0.0417049,-0.0104253,-0.246595,0.0304215,8.062,180.406
38.9674,390,0.604903,-0.0417049,-0.0104253,-0.246595,0.0304215,8.062,180.406
39.3748,394,0.616297,-0.0417527,-0.0104746,-0.245519,0.0304215,7.72377,180.192
39.3748,394,0.616297,-0.0417527,-0.0104746,-0.245519,0.0304215,7.72377,180.192
39.7772,398,0.627577,-0.0412931,-0.0104993,-0.243587,0.0304215,7.39261,179.977
39.7772,398,0.627577,-0.0412931,-0.0104993,-0.243587,0.0304215,7.39261,179.977
40.178,402,0.638826,-0.0412661,-0.0104687,-0.244573,0.0304215,7.0655,179.759
40.178,402,0.638826,-0.0412661,-0.0104687,-0.244573,0.0304215,7.0655,179.759
40.5815,406,0.650171,-0.041507,-0.0104398,-0.246638,0.0304215,6.73902,179.535
40.5815,406,0.650171,-0.041507,-0.0104398,-0.246638,0.0304215,6.73902,179.535
40.989,410,0.661564,-0.0419281,-0.010436,-0.248991,0.0304215,6.41212,179.305
40.989,410,0.661564,-0.0419281,-0.010436,-0.248991,0.0304215,6.41212,179.305
41.3988,414,0.672961,-0.0418285,-0.0104474,-0.248074,0.0304215,6.08631,179.07
41.3988,414,0.672961,-0.0418285,-0.0104474,-0.248074,0.0304215,6.08631,179.07
